Age, Income, CreditScore, ExistingLoan, EmploymentExperience, LoanAmount, LoanApproved
 25,  30000,         620,            0,                    2,     150000,            0
 32,  45000,         680,            1,                    5,     200000,            1
 28,  38000,         640,            0,                    3,     180000,            0
 40,  70000,         750,            1,                   12,     300000,            1
 35,  55000,         710,            0,                    8,     250000,            1
 23,  28000,         600,            0,                    1,     120000,            0
 45,  85000,         790,            1,                   15,     350000,            1
 31,  42000,         660,            1,                    4,     220000,            0
 29,  50000,         700,            0,                    6,     210000,            1
 38,  62000,         730,            0,                   10,     280000,            1
 26,  35000,         610,            1,                    2,     170000,            0
 42,  78000,         770,            0,                   14,     320000,            1
 34,  48000,         690,            1,                    7,     230000,            1
 27,  32000,         630,            0,                    2,     160000,            0
 36,  59000,         720,            1,                    9,     260000,            1
 41,  68000,         740,            1,                   11,     290000,            1
 24,  27000,         590,            0,                    1,     130000,            0
 33,  52000,         705,            0,                    6,     240000,            1
 39,  65000,         735,            1,                   10,     275000,            1
 30,  40000,         650,            0,                    4,     190000,            0
 46,  90000,         810,            0,                   18,     400000,            1
 37,  61000,         725,            1,                    9,     270000,            1
 22,  25000,         580,            0,                    0,     100000,            0
 44,  82000,         780,            1,                   16,     340000,            1
 28,  36000,         645,            1,                    3,     175000,            0
 35,  57000,         715,            0,                    8,     255000,            1
 43,  76000,         760,            0,                   13,     310000,            1
 29,  39000,         655,            0,                    4,     185000,            0
 31,  47000,         675,            1,                    5,     225000,            1
 48,  95000,         820,            1,                   20,     420000,            1
 27,  34000,         625,            0,                    2,     150000,            0
 34,  53000,         700,            1,                    7,     245000,            1
 40,  72000,         755,            0,                   12,     305000,            1
 25,  31000,         605,            1,                    2,     140000,            0
 37,  60000,         720,            0,                    9,     265000,            1
 42,  80000,         775,            1,                   14,     330000,            1
 30,  43000,         665,            0,                    5,     205000,            0
 36,  58000,         710,            1,                    8,     250000,            1
 45,  87000,         795,            0,                   17,     360000,            1
 26,  33000,         615,            0,                    2,     155000,            0
 33,  51000,         695,            0,                    6,     235000,            1
 39,  67000,         745,            1,                   11,     285000,            1
 24,  29000,         595,            1,                    1,     125000,            0
 41,  74000,         765,            0,                   13,     315000,            1
 32,  46000,         685,            0,                    5,     215000,            1
 28,  37000,         635,            1,                    3,     165000,            0
 47,  92000,         805,            0,                   19,     390000,            1
 35,  56000,         705,            1,                    8,     248000,            1
 29,  41000,         660,            0,                    4,     195000,            0
 38,  64000,         735,            1,                   10,     278000,            1
