TransactionAmount, TransactionHour, AccountAgeMonths, PreviousTransactions, LocationDifferenceKm, DeviceType, FailedLoginAttempts, Fraud
             9499,              22,               90,                  172,                   79,          1,                   0,     0
             9888,              23,               22,                   59,                   53,          2,                   1,     0
            25531,              15,               16,                  228,                   29,          0,                   1,     0
             2426,              13,               57,                   40,                   72,          0,                   2,     0
            13780,              12,               97,                  188,                   49,          1,                   1,     0
            27087,              13,               34,                   16,                   24,          1,                   1,     0
            23668,              16,               36,                   77,                   50,          0,                   2,     0
            55105,               3,                5,                   33,                 1432,          1,                   6,     1
            29819,              10,               75,                   19,                   47,          2,                   2,     0
             9308,              20,               87,                  223,                   46,          0,                   1,     0
            36471,               3,                0,                   34,                  206,          1,                   3,     1
            15235,              10,               39,                   45,                   31,          2,                   2,     0
            19743,               8,               55,                  107,                   76,          1,                   2,     0
            21152,               9,                9,                  199,                   35,          0,                   0,     0
           139141,               5,                3,                   36,                  546,          1,                   7,     1
            28181,               2,               12,                   20,                  533,          1,                   4,     1
           141745,               3,               13,                   37,                  649,          1,                   8,     1
             6432,              23,               63,                   45,                   54,          0,                   1,     0
             5358,               7,               71,                   30,                   23,          0,                   2,     0
            14025,               7,                9,                   33,                   27,          0,                   2,     0
             2782,              23,               43,                  222,                   80,          2,                   1,     0
            96777,               4,               21,                   24,                  912,          2,                   3,     1
            28416,               9,               25,                  170,                   20,          2,                   1,     0
             8194,              10,               89,                  186,                    0,          0,                   1,     0
            10476,               7,               12,                  159,                   61,          2,                   2,     0
            25468,              10,               87,                   77,                   20,          2,                   1,     0
            67261,              23,                0,                   39,                  412,          0,                   3,     1
             5264,              13,              116,                   51,                   22,          1,                   0,     0
            22104,               0,               20,                   27,                  377,          1,                   3,     1
            17861,              14,              101,                  159,                   54,          2,                   1,     0
            22394,              11,               84,                  155,                   38,          1,                   2,     0
            22075,              22,               77,                  162,                   40,          1,                   2,     0
            34922,               4,               22,                   40,                  597,          0,                   7,     1
           103473,              23,               12,                   17,                 1640,          1,                   4,     1
             8046,               7,               36,                  234,                   72,          0,                   0,     0
            16950,              21,              107,                  240,                   21,          2,                   0,     0
             8323,              13,               14,                   96,                    2,          2,                   2,     0
             9045,              23,               34,                  185,                   41,          0,                   0,     0
            16817,              15,               91,                  114,                   41,          1,                   2,     0
            20154,              12,               25,                  105,                   20,          2,                   2,     0
            24072,              16,               61,                  165,                   65,          0,                   1,     0
             5369,              20,              112,                  149,                   38,          2,                   2,     0
           123992,               0,                6,                   26,                  897,          2,                   7,     1
            32987,              23,               20,                    2,                 1644,          0,                   3,     1
            12061,              13,               23,                  140,                   63,          0,                   0,     0
            19681,               7,               85,                   30,                   53,          2,                   2,     0
           143503,               0,               13,                   23,                 1401,          1,                   7,     1
            19118,              12,               96,                   27,                    5,          2,                   0,     0
            26766,              13,               40,                   50,                   13,          1,                   0,     0
            18277,              19,               77,                   12,                   14,          0,                   2,     0
            20120,              23,               24,                   36,                  879,          1,                   2,     1
            26627,              23,               93,                  194,                   25,          1,                   1,     0
             3594,              10,               39,                   39,                   13,          2,                   2,     0
           136820,               4,               19,                   24,                  788,          0,                   5,     1
            16835,               9,              117,                  170,                   38,          2,                   2,     0
            14919,              14,              109,                  232,                    0,          0,                   2,     0
            18721,              22,               46,                  249,                   33,          0,                   2,     0
            26647,               7,               99,                  127,                   68,          0,                   1,     0
            21818,              21,               76,                   52,                   33,          2,                   2,     0
            20554,               9,               15,                  147,                   27,          2,                   1,     0
            28334,              21,               34,                   61,                   58,          1,                   1,     0
            19926,               6,               77,                   60,                   69,          1,                   0,     0
             5052,              19,               22,                   20,                   39,          1,                   0,     0
            24568,              21,               63,                   76,                   31,          2,                   1,     0
             3408,               7,               89,                  148,                    1,          0,                   0,     0
            65084,               0,                7,                   26,                 1100,          2,                   8,     1
            18465,              13,              114,                   41,                   58,          0,                   1,     0
           147634,               5,               10,                    0,                 1839,          1,                   8,     1
             2738,              15,               36,                   79,                   42,          1,                   2,     0
             2492,              16,               85,                   90,                   15,          2,                   1,     0
             5807,              23,               99,                   72,                   20,          1,                   1,     0
            20984,              19,              112,                   80,                    5,          0,                   1,     0
            29674,              12,               38,                   21,                   55,          0,                   2,     0
            20079,              16,               65,                  123,                   56,          2,                   0,     0
            82172,              23,               11,                   10,                 1340,          2,                   7,     1
             3239,              18,               18,                  101,                   44,          2,                   1,     0
            14048,              16,               41,                   49,                   27,          1,                   0,     0
            72812,               3,                7,                   17,                  992,          1,                   2,     1
             7113,              16,               33,                  177,                   63,          1,                   2,     0
             2840,              10,               25,                   69,                   49,          2,                   0,     0
             4772,               9,               92,                  199,                   69,          0,                   2,     0
             3290,               9,               90,                  120,                   45,          1,                   1,     0
             8438,              23,              116,                   12,                   14,          2,                   2,     0
            14061,              23,               90,                  193,                   62,          0,                   0,     0
           137523,               1,               19,                   34,                  155,          1,                   6,     1
            19081,              21,               37,                  210,                   60,          1,                   0,     0
            71086,               0,               13,                   26,                  777,          2,                   5,     1
            11841,              12,               91,                   78,                    9,          2,                   2,     0
             9325,              21,               33,                  148,                   16,          2,                   2,     0
             6051,              14,               10,                   37,                   76,          1,                   1,     0
            94058,              23,               21,                   38,                 1749,          0,                   8,     1
            77999,               5,               15,                   31,                 1017,          0,                   2,     1
             2408,               7,              116,                   94,                    9,          2,                   0,     0
             6871,              14,               70,                  135,                   32,          0,                   0,     0
              218,              16,               68,                   14,                   14,          1,                   1,     0
