Age, MonthlyIncome, YearsAtCompany, TotalWorkingYears, DistanceFromHome, JobSatisfaction, WorkLifeBalance, OverTime, NumCompaniesWorked, TrainingTimesLastYear, Attrition
 24,         52421,              6,                 6,               32,               4,               2, Yes     ,                  3,                     0, No
 51,        173064,              1,                26,               34,               4,               2, No      ,                  5,                     3, No
 47,        133296,              8,                20,               25,               1,               4, No      ,                  5,                     1, No
 38,        100482,              9,                20,               10,               3,               4, No      ,                  3,                     5, No
 38,         28122,              3,                 4,                2,               4,               2, Yes     ,                  1,                     1, No
 55,        154740,              4,                33,               32,               3,               4, No      ,                  4,                     4, No
 24,         56378,              3,                 6,               35,               3,               3, Yes     ,                  5,                     3, No
 48,         95706,              2,                18,               39,               2,               2, No      ,                  2,                     4, No
 29,         61086,              9,                11,               48,               1,               1, Yes     ,                  6,                     0, No
 24,         73609,              4,                 6,               25,               2,               3, Yes     ,                  5,                     3, No
 42,         57744,              4,                 9,               42,               3,               3, No      ,                  1,                     4, No
 60,        180993,             11,                28,               36,               1,               4, Yes     ,                  8,                     2, No
 50,         57233,              1,                 8,               14,               1,               3, Yes     ,                  0,                     6, No
 51,        100336,             11,                11,               43,               2,               1, No      ,                  5,                     3, Yes
 49,        104032,             12,                18,                3,               4,               3, Yes     ,                  3,                     2, No
 52,        165333,              9,                30,               30,               3,               3, No      ,                  5,                     0, No
 41,         63557,              5,                13,               48,               3,               2, No      ,                  6,                     1, Yes
 26,         40232,              6,                 8,               33,               3,               2, Yes     ,                  6,                     3, Yes
 54,         34475,              1,                 1,               47,               1,               4, No      ,                  5,                     2, No
 39,         56594,              2,                 4,                3,               2,               3, Yes     ,                  7,                     6, No
 41,         31125,              0,                 2,               27,               1,               3, No      ,                  6,                     5, No
 35,         18000,              1,                 2,               40,               4,               2, Yes     ,                  7,                     1, No
 28,         39515,              7,                10,               33,               4,               2, Yes     ,                  3,                     4, No
 58,        122312,             18,                30,               45,               2,               3, Yes     ,                  1,                     3, Yes
 52,        111983,              2,                29,               24,               2,               4, No      ,                  2,                     0, No
 46,         32371,              1,                 2,               35,               2,               3, No      ,                  5,                     4, No
 37,         50651,              1,                 2,               21,               4,               3, No      ,                  4,                     3, No
 53,         63759,             10,                10,               44,               2,               1, No      ,                  0,                     0, Yes
 42,         65313,             11,                20,                6,               4,               4, No      ,                  1,                     3, No
 38,         68966,              4,                12,               13,               2,               1, No      ,                  8,                     5, No
 39,         90470,             10,                17,                5,               3,               4, No      ,                  6,                     2, No
 30,         84928,              1,                 6,               36,               3,               2, No      ,                  6,                     2, No
 24,         20972,              0,                 6,               12,               2,               4, No      ,                  1,                     0, No
 43,         61168,              8,                11,               16,               4,               4, No      ,                  0,                     1, No
 56,         61105,              2,                 2,               42,               3,               4, No      ,                  2,                     6, Yes
 23,         51100,              5,                 5,               19,               4,               4, Yes     ,                  7,                     4, No
 55,        166540,             19,                32,                8,               4,               3, No      ,                  4,                     1, No
 54,         24063,              0,                 0,                2,               1,               4, Yes     ,                  7,                     3, No
 32,         86739,              0,                14,               12,               1,               1, No      ,                  4,                     1, No
 46,        153597,             28,                28,               46,               3,               1, No      ,                  4,                     3, No
 27,         45229,              4,                 9,               28,               2,               3, No      ,                  5,                     1, No
 51,        163805,              8,                30,               50,               2,               4, No      ,                  8,                     4, No
 49,         56086,             13,                14,               11,               1,               4, No      ,                  3,                     3, Yes
 35,         82511,             10,                13,               18,               2,               3, Yes     ,                  5,                     4, No
 23,         46217,              4,                 5,                9,               2,               3, No      ,                  8,                     3, No
 59,         31907,              1,                 5,               20,               2,               3, No      ,                  3,                     2, No
 38,         55192,              8,                 8,               29,               3,               4, Yes     ,                  7,                     1, No
 56,         98994,              9,                21,               41,               3,               4, Yes     ,                  4,                     1, No
 48,        103509,             13,                24,               19,               2,               1, Yes     ,                  7,                     3, Yes
 52,         32435,              3,                 4,               39,               1,               3, No      ,                  4,                     3, Yes
 51,         77728,             12,                18,               32,               3,               2, No      ,                  5,                     4, No
 28,         69810,              1,                10,               15,               1,               4, No      ,                  2,                     0, No
 35,         72698,              5,                17,               46,               2,               3, No      ,                  5,                     1, No
 39,        123016,              7,                21,               22,               2,               4, No      ,                  2,                     5, No
 40,         18000,              2,                 2,                8,               1,               2, No      ,                  5,                     6, No
 22,         28607,              3,                 4,               49,               2,               3, No      ,                  7,                     6, Yes
 42,         77957,              6,                16,               46,               2,               1, No      ,                  3,                     2, Yes
 27,         83653,              7,                 9,                3,               4,               4, Yes     ,                  3,                     0, No
 50,         90945,             11,                15,               46,               4,               1, No      ,                  2,                     1, No
 48,         64389,              4,                11,               48,               1,               2, No      ,                  6,                     0, No
 57,        144377,             11,                27,               42,               3,               4, No      ,                  5,                     6, No
 50,         84871,             22,                24,               13,               3,               4, No      ,                  4,                     6, No
 35,         42224,              3,                 5,               32,               2,               2, No      ,                  0,                     5, No
 59,        162955,              3,                25,               27,               2,               2, Yes     ,                  0,                     5, Yes
 37,        104182,             14,                19,               32,               4,               1, No      ,                  0,                     2, No
 34,         77822,              8,                13,               31,               2,               4, Yes     ,                  7,                     3, No
 57,        170466,             17,                33,               32,               1,               1, No      ,                  7,                     5, No
 35,        109521,             13,                17,               26,               2,               1, Yes     ,                  0,                     5, No
 24,         18000,              6,                 6,               35,               2,               2, No      ,                  0,                     3, Yes
 39,         18000,              0,                 0,               27,               2,               1, No      ,                  7,                     5, Yes
 52,        126585,              8,                24,                1,               1,               1, Yes     ,                  4,                     2, Yes
 28,         38532,              3,                 7,                2,               1,               3, No      ,                  2,                     2, No
 39,        133816,              4,                21,               48,               4,               3, No      ,                  5,                     5, Yes
 26,         49927,              5,                 8,               46,               1,               2, No      ,                  2,                     2, Yes
 48,         54378,              6,                16,               30,               3,               4, Yes     ,                  1,                     5, No
 40,         20176,              2,                 5,                9,               3,               3, Yes     ,                  3,                     3, No
 34,         39706,             11,                16,               40,               3,               1, No      ,                  8,                     2, No
 30,         38786,              2,                 5,                8,               4,               3, No      ,                  6,                     1, No
 43,         81609,              7,                15,               19,               1,               3, No      ,                  1,                     4, No
 47,        136160,             13,                29,               17,               2,               4, Yes     ,                  5,                     3, Yes
 58,        180020,              8,                33,                1,               1,               1, No      ,                  7,                     2, No
 38,        127573,              2,                20,               41,               3,               1, No      ,                  8,                     5, Yes
 27,         56733,              8,                 9,               26,               3,               2, Yes     ,                  6,                     0, Yes
 54,         67576,              1,                20,               16,               4,               2, No      ,                  1,                     0, No
 46,         62511,              2,                 7,               26,               2,               4, Yes     ,                  2,                     6, Yes
 49,        157996,             20,                30,                1,               1,               3, No      ,                  1,                     4, No
 24,         52769,              0,                 6,               22,               4,               3, No      ,                  1,                     3, No
 33,        102667,             10,                15,               26,               3,               3, No      ,                  1,                     0, No
 51,         97633,             17,                23,               17,               4,               4, No      ,                  2,                     4, No
 54,         79158,              3,                 5,               42,               2,               2, Yes     ,                  4,                     3, Yes
 38,         80330,              5,                18,               13,               2,               1, Yes     ,                  3,                     4, No
 53,        102686,              0,                16,                7,               2,               1, Yes     ,                  3,                     0, Yes
 54,        117628,             27,                30,               27,               3,               2, No      ,                  2,                     3, No
 36,         64055,              4,                14,               45,               1,               3, No      ,                  1,                     4, No
 56,         95495,              9,                11,               19,               4,               2, Yes     ,                  8,                     2, No
 32,         25704,              0,                 2,                3,               1,               2, Yes     ,                  5,                     0, No
 30,         87519,              2,                12,               49,               2,               2, No      ,                  2,                     6, No
 48,        139665,             21,                27,               23,               2,               4, No      ,                  7,                     4, No
 46,         24311,              1,                 1,                9,               3,               4, No      ,                  7,                     4, No
 26,         80149,              7,                 8,               31,               3,               1, No      ,                  8,                     5, No
