Age, Income , LoanAmount, CreditScore, EmploymentYears, ExistingLoans, MonthlyDebt, LoanTerm, PreviousDefault, HomeOwnership, Default
 37,  723624,     530894,         750,               0,             4,       12255,       12, No             , Own          ,       0
 53,  448448,     266461,         576,              27,             2,       39273,       48, No             , Own          ,       1
 38,  931575,     338951,         665,              20,             4,       20805,       36, Yes            , Rent         ,       1
 21,  499242,    1037094,         643,               3,             0,       27161,       36, No             , Rent         ,       0
 63,  150000,     743351,         657,              14,             3,       19899,       36, No             , Rent         ,       0
 65, 1039710,     308837,         552,               6,             4,       23366,       36, No             , Rent         ,       0
 48,  845706,     821161,         529,              28,             0,       29361,       12, No             , Rent         ,       0
 53, 1031880,     431623,         589,               2,             4,       43537,       36, No             , Mortgage     ,       1
 22,  499709,    1331098,         687,               4,             3,       22069,       36, No             , Own          ,       1
 45,  447743,      50000,         683,               1,             1,       11648,       84, No             , Own          ,       0
 34,  760174,     989583,         534,              16,             5,       39128,       36, No             , Mortgage     ,       1
 31,  420960,     109640,         590,               0,             5,       45217,       84, No             , Own          ,       1
 41,  623555,     182313,         681,              20,             0,       23085,       84, No             , Mortgage     ,       0
 48,  187527,    1122942,         634,               1,             3,       34162,       36, No             , Own          ,       1
 28, 1387133,     719580,         797,              10,             0,       13886,       60, No             , Mortgage     ,       0
 37,  653086,    1075197,         620,               6,             3,       30994,       48, Yes            , Mortgage     ,       1
 65,  395792,     717929,         764,              10,             0,       18522,       36, No             , Mortgage     ,       1
 47,  642603,     182834,         789,              27,             1,       15350,       36, No             , Mortgage     ,       0
 55,  887241,     346744,         770,              18,             1,        7219,       48, No             , Own          ,       0
 32,  485208,     338958,         746,               7,             3,       21275,       48, No             , Rent         ,       0
 24,  623787,     890702,         465,               6,             0,       16243,       60, No             , Own          ,       1
 22,  609073,     690861,         850,               4,             2,           0,       24, No             , Own          ,       0
 35, 1200032,     683020,         598,               2,             1,       19689,       36, No             , Rent         ,       0
 47,  700817,     511456,         831,              12,             2,        9323,       36, No             , Rent         ,       0
